DZcode,IMD_population
S01008250,1190
S01008251,855
S01008252,832
S01008253,801
S01008254,999
S01008255,748
S01008256,815
S01008257,708
S01008258,778
S01008259,835
S01008260,783
S01008261,876
S01008262,656
S01008263,660
S01008264,710
S01008265,739
S01008266,662
S01008267,966
S01008268,881
S01008269,891
S01008270,849
S01008271,654
S01008272,1620
S01008273,832
S01008274,688
S01008275,514
S01008276,534
S01008277,492
S01008278,888
S01008279,715
S01008280,1000
S01008281,747
S01008282,762
S01008283,527
S01008284,1841
S01008285,792
S01008286,723
S01008287,883
S01008288,866
S01008289,611
S01008290,909
S01008291,732
S01008292,855
S01008293,620
S01008294,935
S01008295,871
S01008296,631
S01008297,847
S01008298,742
S01008299,807
S01008300,794
S01008301,771
S01008302,821
S01008303,476
S01008304,463
S01008305,762
S01008306,581
S01008307,638
S01008308,564
S01008309,759
S01008310,913
S01008311,366
S01008312,484
S01008313,840
S01008314,628
S01008315,685
S01008316,634
S01008317,871
S01008318,1145
S01008319,695
S01008320,590
S01008321,520
S01008322,1048
S01008323,790
S01008324,619
S01008325,849
S01008326,1016
S01008327,891
S01008328,2656
S01008329,858
S01008330,853
S01008331,621
S01008332,954
S01008333,1005
S01008334,1042
S01008335,743
S01008336,644
S01008337,1003
S01008338,936
S01008339,544
S01008340,800
S01008341,645
S01008342,855
S01008343,902
S01008344,886
S01008345,1045
S01008346,1010
S01008347,1022
S01008348,769
S01008349,858
S01008350,576
S01008351,900
S01008352,693
S01008353,528
S01008354,1074
S01008355,668
S01008356,607
S01008357,714
S01008358,707
S01008359,718
S01008360,841
S01008361,823
S01008362,1079
S01008363,778
S01008364,777
S01008365,690
S01008366,950
S01008367,747
S01008368,661
S01008369,550
S01008370,740
S01008371,771
S01008372,811
S01008373,803
S01008374,707
S01008375,818
S01008376,541
S01008377,767
S01008378,1032
S01008379,555
S01008380,703
S01008381,636
S01008382,864
S01008383,497
S01008384,976
S01008385,681
S01008386,881
S01008387,567
S01008388,629
S01008389,673
S01008390,604
S01008391,780
S01008392,894
S01008393,862
S01008394,904
S01008395,551
S01008396,645
S01008397,922
S01008398,605
S01008399,538
S01008400,678
S01008401,927
S01008402,1077
S01008403,602
S01008404,984
S01008405,816
S01008406,1047
S01008407,524
S01008408,674
S01008409,907
S01008410,682
S01008411,601
S01008412,716
S01008413,533
S01008414,452
S01008415,844
S01008416,896
S01008417,708
S01008418,691
S01008419,541
S01008420,466
S01008421,884
S01008422,617
S01008423,1088
S01008424,836
S01008425,3847
S01008426,599
S01008427,1084
S01008428,696
S01008429,964
S01008430,831
S01008431,825
S01008432,679
S01008433,806
S01008434,940
S01008435,789
S01008436,993
S01008437,765
S01008438,665
S01008439,1198
S01008440,999
S01008441,477
S01008442,701
S01008443,617
S01008444,872
S01008445,1170
S01008446,1180
S01008447,734
S01008448,761
S01008449,867
S01008450,660
S01008451,735
S01008452,676
S01008453,693
S01008454,940
S01008455,987
S01008456,996
S01008457,609
S01008458,1033
S01008459,783
S01008460,824
S01008461,940
S01008462,584
S01008463,673
S01008464,859
S01008465,732
S01008466,715
S01008467,806
S01008468,566
S01008469,668
S01008470,891
S01008471,866
S01008472,725
S01008473,670
S01008474,821
S01008475,637
S01008476,772
S01008477,793
S01008478,844
S01008479,768
S01008480,641
S01008481,1619
S01008482,623
S01008483,612
S01008484,787
S01008485,867
S01008486,846
S01008487,894
S01008488,857
S01008489,610
S01008490,912
S01008491,986
S01008492,1341
S01008493,1052
S01008494,1024
S01008495,971
S01008496,1027
S01008497,944
S01008498,889
S01008499,1068
S01008500,486
S01008501,661
S01008502,719
S01008503,945
S01008504,1120
S01008505,726
S01008506,918
S01008507,964
S01008508,870
S01008509,983
S01008510,907
S01008511,941
S01008512,522
S01008513,805
S01008514,993
S01008515,819
S01008516,1063
S01008517,914
S01008518,905
S01008519,835
S01008520,1089
S01008521,916
S01008522,515
S01008523,1004
S01008524,911
S01008525,862
S01008526,872
S01008527,739
S01008528,691
S01008529,737
S01008530,708
S01008531,758
S01008532,463
S01008533,258
S01008534,634
S01008535,713
S01008536,577
S01008537,659
S01008538,585
S01008539,830
S01008540,897
S01008541,919
S01008542,1678
S01008543,749
S01008544,662
S01008545,852
S01008546,786
S01008547,1017
S01008548,861
S01008549,1173
S01008550,777
S01008551,913
S01008552,858
S01008553,664
S01008554,1060
S01008555,1063
S01008556,796
S01008557,1432
S01008558,872
S01008559,710
S01008560,678
S01008561,705
S01008562,878
S01008563,850
S01008564,642
S01008565,986
S01008566,1057
S01008567,812
S01008568,789
S01008569,715
S01008570,987
S01008571,677
S01008572,927
S01008573,909
S01008574,680
S01008575,821
S01008576,822
S01008577,871
S01008578,838
S01008579,999
S01008580,551
S01008581,897
S01008582,1051
S01008583,727
S01008584,873
S01008585,611
S01008586,848
S01008587,1138
S01008588,865
S01008589,389
S01008590,817
S01008591,870
S01008592,896
S01008593,763
S01008594,1114
S01008595,854
S01008596,891
S01008597,844
S01008598,800
S01008599,870
S01008600,1137
S01008601,2147
S01008602,667
S01008603,1109
S01008604,1121
S01008605,693
S01008606,743
S01008607,613
S01008608,783
S01008609,1033
S01008610,841
S01008611,1365
S01008612,729
S01008613,802
S01008614,731
S01008615,874
S01008616,634
S01008617,785
S01008618,666
S01008619,498
S01008620,741
S01008621,759
S01008622,512
S01008623,879
S01008624,797
S01008625,607
S01008626,943
S01008627,780
S01008628,743
S01008629,649
S01008630,606
S01008631,966
S01008632,797
S01008633,951
S01008634,765
S01008635,838
S01008636,879
S01008637,855
S01008638,882
S01008639,977
S01008640,820
S01008641,959
S01008642,923
S01008643,781
S01008644,833
S01008645,836
S01008646,914
S01008647,665
S01008648,606
S01008649,995
S01008650,817
S01008651,1667
S01008652,563
S01008653,812
S01008654,949
S01008655,895
S01008656,697
S01008657,749
S01008658,1489
S01008659,706
S01008660,874
S01008661,1046
S01008662,555
S01008663,964
S01008664,807
S01008665,1415
S01008666,1106
S01008667,1056
S01008668,665
S01008669,509
S01008670,826
S01008671,725
S01008672,781
S01008673,1836
S01008674,1221
S01008675,843
S01008676,705
S01008677,864
S01008678,1456
S01008679,1431
S01008680,709
S01008681,1347
S01008682,906
S01008683,2033
S01008684,1161
S01008685,2224
S01008686,1252
S01008687,707
S01008688,948
S01008689,875
S01008690,1026
S01008691,1209
S01008692,1381
S01008693,454
S01008694,897
S01008695,701
S01008696,634
S01008697,1039
S01008698,504
S01008699,868
S01008700,542
S01008701,831
S01008702,684
S01008703,1128
S01008704,1335
S01008705,523
S01008706,610
S01008707,953
S01008708,1043
S01008709,734
S01008710,452
S01008711,785
S01008712,1124
S01008713,669
S01008714,565
S01008715,763
S01008716,568
S01008717,428
S01008718,621
S01008719,1086
S01008720,892
S01008721,829
S01008722,1058
S01008723,807
S01008724,1024
S01008725,814
S01008726,596
S01008727,1097
S01008728,639
S01008729,709
S01008730,865
S01008731,530
S01008732,640
S01008733,768
S01008734,639
S01008735,1009
S01008736,738
S01008737,824
S01008738,858
S01008739,573
S01008740,552
S01008741,940
S01008742,508
S01008743,951
S01008744,1098
S01008745,517
S01008746,1062
S01008747,509
S01008748,655
S01008749,978
S01008750,682
S01008751,630
S01008752,739
S01008753,583
S01008754,654
S01008755,916
S01008756,648
S01008757,634
S01008758,837
S01008759,609
S01008760,969
S01008761,720
S01008762,582
S01008763,920
S01008764,680
S01008765,884
S01008766,1006
S01008767,564
S01008768,1060
S01008769,981
S01008770,958
S01008771,1082
S01008772,771
S01008773,1011
S01008774,961
S01008775,486
S01008776,865
S01008777,1072
S01008778,1167
S01008779,785
S01008780,548
S01008781,1113
S01008782,747
S01008783,463
S01008784,456
S01008785,845
S01008786,1059
S01008787,392
S01008788,774
S01008789,648
S01008790,692
S01008791,987
S01008792,877
S01008793,496
S01008794,847
S01008795,1183
S01008796,1095
S01008797,888
S01008798,809
S01008799,744
S01008800,1149
S01008801,935
S01008802,1050
S01008803,983
S01008804,768
S01008805,699
S01008806,1073
S01008807,801
S01008808,733
S01008809,697
S01008810,759
S01008811,934
S01008812,542
S01008813,1081
S01008814,929
S01008815,904
S01008816,611
S01008817,850
S01008818,1051
S01008819,740
S01008820,1137
S01008821,734
S01008822,749
S01008823,693
S01008824,1018
S01008825,631
S01008826,678
S01008827,763
S01008828,889
S01008829,746
S01008830,942
S01008831,731
S01008832,846
S01008833,1050
S01008834,1142
S01008835,847
S01008836,701
S01008837,1202
S01008838,1188
S01008839,1100
S01008840,1133
S01008841,755
S01008842,1052
S01008843,1064
S01008844,747
S01008845,859
S01008846,691
S01008847,642
S01008848,621
S01008849,746
S01008850,713
S01008851,1008
S01008852,1028
S01008853,609
S01008854,912
S01008855,1141
S01008856,560
S01008857,807
S01008858,627
S01008859,1090
S01008860,877
S01008861,777
S01008862,943
S01008863,655
S01008864,1456
S01008865,966
S01008866,766
S01008867,870
S01008868,940
S01008869,1203
S01008870,888
S01008871,1237
S01008872,887
S01008873,720
S01008874,1016
S01008875,866
S01008876,623
S01008877,531
S01008878,865
S01008879,823
S01008880,630
S01008881,683
S01008882,1071
S01008883,1092
S01008884,721
S01008885,876
S01008886,923
S01008887,779
S01008888,672
S01008889,885
S01008890,654
S01008891,771
S01008892,1009
S01008893,931
S01008894,906
S01008895,891
S01008896,721
S01008897,718
S01008898,867
S01008899,874
S01008900,958
S01008901,950
S01008902,1090
S01008903,981
S01008904,1043
S01008905,1121
S01008906,823
S01008907,930
S01008908,1257
S01008909,769
S01008910,520
S01008911,1262
S01008912,787
S01008913,721
S01008914,919
S01008915,569
S01008916,1052
S01008917,782
S01008918,625
S01008919,582
S01008920,1366
S01008921,910
S01008922,823
S01008923,867
S01008924,945
S01008925,774
S01008926,579
S01008927,1032
S01008928,894
S01008929,733
S01008930,876
S01008931,1433
S01008932,954
S01008933,652
S01008934,908
S01008935,959
S01008936,399
S01008937,989
S01008938,813
S01008939,780
S01008940,629
S01008941,1011
S01008942,829
S01008943,920
S01008944,1111
S01008945,805
S01008946,1035
S01008947,1089
S01008948,736
S01008949,903
S01008950,988
S01008951,925
S01008952,875
S01008953,882
S01008954,878
S01008955,634
S01008956,826
S01008957,1028
S01008958,975
S01008959,830
S01008960,1159
S01008961,691
S01008962,633
S01008963,815
S01008964,541
S01008965,825
S01008966,590
S01008967,1065
S01008968,1625
S01008969,1129
S01008970,981
S01008971,731
S01008972,781
S01008973,944
S01008974,832
S01008975,766
S01008976,563
S01008977,620
S01008978,640
S01008979,718
S01008980,830
S01008981,749
S01008982,814
S01008983,643
S01008984,501
S01008985,926
S01008986,790
S01008987,783
S01008988,1090
S01008989,610
S01008990,904
S01008991,927
S01008992,578
S01008993,1037
S01008994,760
S01008995,813
S01008996,883
S01008997,1106
S01008998,796
S01008999,836
S01009000,1550
S01009001,935
S01009002,2360
S01009003,982
S01009004,693
S01009005,756
S01009006,756
S01009007,712
S01009008,917
S01009009,476
S01009010,977
S01009011,880
S01009012,760
S01009013,862
S01009014,581
S01009015,662
S01009016,465
S01009017,592
S01009018,725
S01009019,532
S01009020,790
S01009021,700
S01009022,886
S01009023,877
S01009024,975
S01009025,891
S01009026,909
S01009027,706
S01009028,459
S01009029,599
S01009030,697
S01009031,725
S01009032,574
S01009033,719
S01009034,727
S01009035,927
S01009036,1091
S01009037,934
S01009038,1072
S01009039,633
S01009040,637
S01009041,884
S01009042,751
S01009043,600
S01009044,812
S01009045,630
S01009046,997
S01009047,804
S01009048,809
S01009049,578
S01009050,800
S01009051,727
S01009052,585
S01009053,523
S01009054,554
S01009055,1000
S01009056,552
S01009057,555
S01009058,786
S01009059,895
S01009060,673
S01009061,753
S01009062,641
S01009063,783
S01009064,558
S01009065,660
S01009066,714
S01009067,924
S01009068,898
S01009069,648
S01009070,585
S01009071,509
S01009072,541
S01009073,792
S01009074,718
S01009075,540
S01009076,957
S01009077,597
S01009078,859
S01009079,883
S01009080,901
S01009081,634
S01009082,985
S01009083,734
S01009084,786
S01009085,836
S01009086,737
S01009087,591
S01009088,1018
S01009089,998
S01009090,2386
S01009091,755
S01009092,1083
S01009093,721
S01009094,651
S01009095,833
S01009096,1073
S01009097,859
S01009098,480
S01009099,696
S01009100,765
S01009101,836
S01009102,802
S01009103,546
S01009104,755
S01009105,780
S01009106,554
S01009107,792
S01009108,711
S01009109,624
S01009110,589
S01009111,839
S01009112,541
S01009113,917
S01009114,735
S01009115,553
S01009116,443
S01009117,886
S01009118,605
S01009119,733
S01009120,504
S01009121,764
S01009122,1726
S01009123,607
S01009124,619
S01009125,738
S01009126,547
S01009127,698
S01009128,874
S01009129,496
S01009130,629
S01009131,484
S01009132,825
S01009133,753
S01009134,874
S01009135,532
S01009136,872
S01009137,804
S01009138,887
S01009139,421
S01009140,677
S01009141,872
S01009142,579
S01009143,542
S01009144,704
S01009145,978
S01009146,918
S01009147,834
S01009148,655
S01009149,764
S01009150,768
S01009151,865
S01009152,641
S01009153,488
S01009154,967
S01009155,545
S01009156,573
S01009157,878
S01009158,621
S01009159,456
S01009160,682
S01009161,662
S01009162,699
S01009163,467
S01009164,702
S01009165,718
S01009166,803
S01009167,548
S01009168,599
S01009169,758
S01009170,722
S01009171,636
S01009172,660
S01009173,756
S01009174,506
S01009175,841
S01009176,982
S01009177,840
S01009178,718
S01009179,677
S01009180,946
S01009181,860
S01009182,909
S01009183,694
S01009184,853
S01009185,933
S01009186,822
S01009187,520
S01009188,915
S01009189,772
S01009190,1387
S01009191,759
S01009192,855
S01009193,1725
S01009194,785
S01009195,861
S01009196,709
S01009197,1127
S01009198,695
S01009199,609
S01009200,1738
S01009201,708
S01009202,529
S01009203,764
S01009204,885
S01009205,699
S01009206,897
S01009207,707
S01009208,593
S01009209,628
S01009210,523
S01009211,603
S01009212,824
S01009213,829
S01009214,1019
S01009215,916
S01009216,923
S01009217,619
S01009218,823
S01009219,594
S01009220,507
S01009221,561
S01009222,529
S01009223,530
S01009224,681
S01009225,529
S01009226,830
S01009227,583
S01009228,556
S01009229,504
S01009230,512
S01009231,929
S01009232,569
S01009233,551
S01009234,899
S01009235,819
S01009236,489
S01009237,860
S01009238,701
S01009239,767
S01009240,609
S01009241,971
S01009242,691
S01009243,946
S01009244,736
S01009245,816
S01009246,828
S01009247,997
S01009248,659
S01009249,788
S01009250,622
S01009251,484
S01009252,479
S01009253,494
S01009254,816
S01009255,646
S01009256,476
S01009257,738
S01009258,692
S01009259,908
S01009260,1182
S01009261,752
S01009262,596
S01009263,813
S01009264,562
S01009265,750
S01009266,839
S01009267,838
S01009268,1025
S01009269,890
S01009270,586
S01009271,827
S01009272,691
S01009273,503
S01009274,646
S01009275,643
S01009276,844
S01009277,557
S01009278,561
S01009279,576
S01009280,903
S01009281,776
S01009282,692
S01009283,551
S01009284,790
S01009285,837
S01009286,684
S01009287,763
S01009288,978
S01009289,896
S01009290,656
S01009291,932
S01009292,501
S01009293,701
S01009294,616
S01009295,595
S01009296,466
S01009297,781
S01009298,940
S01009299,1157
S01009300,561
S01009301,1051
S01009302,834
S01009303,860
S01009304,987
S01009305,791
S01009306,1135
S01009307,947
S01009308,490
S01009309,747
S01009310,928
S01009311,768
S01009312,662
S01009313,581
S01009314,624
S01009315,665
S01009316,769
S01009317,801
S01009318,580
S01009319,902
S01009320,672
S01009321,660
S01009322,744
S01009323,643
S01009324,536
S01009325,773
S01009326,581
S01009327,568
S01009328,965
S01009329,1266
S01009330,579
S01009331,1546
S01009332,887
S01009333,783
S01009334,610
S01009335,914
S01009336,618
S01009337,730
S01009338,967
S01009339,928
S01009340,664
S01009341,620
S01009342,744
S01009343,549
S01009344,672
S01009345,917
S01009346,795
S01009347,695
S01009348,549
S01009349,826
S01009350,597
S01009351,567
S01009352,850
S01009353,861
S01009354,1358
S01009355,879
S01009356,912
S01009357,516
S01009358,661
S01009359,777
S01009360,811
S01009361,755
S01009362,956
S01009363,791
S01009364,883
S01009365,549
S01009366,729
S01009367,610
S01009368,546
S01009369,582
S01009370,767
S01009371,542
S01009372,513
S01009373,796
S01009374,950
S01009375,767
S01009376,541
S01009377,1549
S01009378,980
S01009379,970
S01009380,523
S01009381,580
S01009382,726
S01009383,750
S01009384,575
S01009385,481
S01009386,579
S01009387,632
S01009388,726
S01009389,924
S01009390,749
S01009391,670
S01009392,556
S01009393,663
S01009394,930
S01009395,687
S01009396,752
S01009397,691
S01009398,623
S01009399,696
S01009400,532
S01009401,685
S01009402,858
S01009403,529
S01009404,719
S01009405,419
S01009406,915
S01009407,546
S01009408,913
S01009409,663
S01009410,832
S01009411,856
S01009412,851
S01009413,904
S01009414,656
S01009415,720
S01009416,488
S01009417,1036
S01009418,1055
S01009419,551
S01009420,659
S01009421,706
S01009422,747
S01009423,1404
S01009424,575
S01009425,667
S01009426,738
S01009427,550
S01009428,673
S01009429,749
S01009430,718
S01009431,673
S01009432,805
S01009433,795
S01009434,562
S01009435,754
S01009436,709
S01009437,598
S01009438,879
S01009439,879
S01009440,703
S01009441,768
S01009442,638
S01009443,1024
S01009444,819
S01009445,739
S01009446,883
S01009447,506
S01009448,917
S01009449,505
S01009450,558
S01009451,1036
S01009452,523
S01009453,1003
S01009454,929
S01009455,1177
S01009456,686
S01009457,618
S01009458,738
S01009459,882
S01009460,791
S01009461,937
S01009462,731
S01009463,614
S01009464,837
S01009465,595
S01009466,544
S01009467,753
S01009468,716
S01009469,825
S01009470,507
S01009471,599
S01009472,1013
S01009473,845
S01009474,936
S01009475,596
S01009476,550
S01009477,770
S01009478,732
S01009479,907
S01009480,794
S01009481,886
S01009482,607
S01009483,646
S01009484,874
S01009485,787
S01009486,613
S01009487,824
S01009488,701
S01009489,769
S01009490,829
S01009491,782
S01009492,716
S01009493,786
S01009494,938
S01009495,836
S01009496,731
S01009497,892
S01009498,610
S01009499,769
S01009500,742
S01009501,774
S01009502,797
S01009503,667
S01009504,680
S01009505,796
S01009506,690
S01009507,876
S01009508,842
S01009509,979
S01009510,662
S01009511,604
S01009512,708
S01009513,592
S01009514,658
S01009515,736
S01009516,879
S01009517,1114
S01009518,1022
S01009519,777
S01009520,771
S01009521,890
S01009522,996
S01009523,573
S01009524,704
S01009525,514
S01009526,680
S01009527,651
S01009528,550
S01009529,563
S01009530,560
S01009531,854
S01009532,828
S01009533,930
S01009534,861
S01009535,747
S01009536,554
S01009537,540
S01009538,819
S01009539,951
S01009540,782
S01009541,915
S01009542,707
S01009543,552
S01009544,925
S01009545,789
S01009546,1200
S01009547,786
S01009548,634
S01009549,779
S01009550,530
S01009551,496
S01009552,901
S01009553,895
S01009554,641
S01009555,794
S01009556,698
S01009557,597
S01009558,657
S01009559,809
S01009560,663
S01009561,680
S01009562,795
S01009563,750
S01009564,643
S01009565,575
S01009566,1009
S01009567,854
S01009568,763
S01009569,741
S01009570,533
S01009571,677
S01009572,991
S01009573,724
S01009574,936
S01009575,509
S01009576,477
S01009577,693
S01009578,720
S01009579,1034
S01009580,979
S01009581,552
S01009582,532
S01009583,781
S01009584,547
S01009585,935
S01009586,653
S01009587,741
S01009588,1035
S01009589,945
S01009590,717
S01009591,587
S01009592,555
S01009593,588
S01009594,686
S01009595,473
S01009596,732
S01009597,823
S01009598,629
S01009599,823
S01009600,585
S01009601,668
S01009602,723
S01009603,543
S01009604,824
S01009605,750
S01009606,713
S01009607,662
S01009608,638
S01009609,832
S01009610,958
S01009611,505
S01009612,536
S01009613,448
S01009614,509
S01009615,389
S01009616,706
S01009617,752
S01009618,664
S01009619,554
S01009620,790
S01009621,754
S01009622,646
S01009623,460
S01009624,846
S01009625,845
S01009626,569
S01009627,805
S01009628,517
S01009629,1031
S01009630,704
S01009631,624
S01009632,530
S01009633,737
S01009634,517
S01009635,803
S01009636,863
S01009637,756
S01009638,1049
S01009639,831
S01009640,584
S01009641,756
S01009642,833
S01009643,964
S01009644,802
S01009645,606
S01009646,552
S01009647,601
S01009648,842
S01009649,999
S01009650,749
S01009651,932
S01009652,779
S01009653,528
S01009654,588
S01009655,796
S01009656,730
S01009657,730
S01009658,768
S01009659,497
S01009660,1061
S01009661,872
S01009662,722
S01009663,652
S01009664,958
S01009665,639
S01009666,688
S01009667,536
S01009668,609
S01009669,527
S01009670,821
S01009671,643
S01009672,799
S01009673,786
S01009674,877
S01009675,840
S01009676,873
S01009677,616
S01009678,561
S01009679,893
S01009680,811
S01009681,703
S01009682,633
S01009683,831
S01009684,1078
S01009685,685
S01009686,1108
S01009687,709
S01009688,792
S01009689,627
S01009690,710
S01009691,591
S01009692,1061
S01009693,591
S01009694,911
S01009695,666
S01009696,882
S01009697,728
S01009698,588
S01009699,511
S01009700,681
S01009701,415
S01009702,672
S01009703,579
S01009704,841
S01009705,692
S01009706,582
S01009707,533
S01009708,1012
S01009709,822
S01009710,537
S01009711,758
S01009712,600
S01009713,890
S01009714,909
S01009715,664
S01009716,771
S01009717,1147
S01009718,699
S01009719,722
S01009720,820
S01009721,884
S01009722,1553
S01009723,1113
S01009724,1049
S01009725,647
S01009726,977
S01009727,867
S01009728,789
S01009729,647
S01009730,562
S01009731,618
S01009732,839
S01009733,538
S01009734,1004
S01009735,1401
S01009736,2328
S01009737,903
S01009738,430
S01009739,837
S01009740,522
S01009741,1352
S01009742,478
S01009743,916
S01009744,689
S01009745,1024
S01009746,550
S01009747,635
S01009748,773
S01009749,949
S01009750,677
S01009751,747
S01009752,626
S01009753,696
S01009754,870
S01009755,707
S01009756,743
S01009757,642
S01009758,624
S01009759,860
S01009760,852
S01009761,846
S01009762,1183
S01009763,783
S01009764,688
S01009765,996
S01009766,515
S01009767,1099
S01009768,755
S01009769,1152
S01009770,664
S01009771,846
S01009772,723
S01009773,730
S01009774,628
S01009775,773
S01009776,652
S01009777,483
S01009778,809
S01009779,625
S01009780,695
S01009781,583
S01009782,754
S01009783,689
S01009784,715
S01009785,778
S01009786,934
S01009787,755
S01009788,859
S01009789,867
S01009790,612
S01009791,789
S01009792,986
S01009793,1342
S01009794,522
S01009795,865
S01009796,744
S01009797,782
S01009798,696
S01009799,742
S01009800,1002
S01009801,859
S01009802,1008
S01009803,745
S01009804,526
S01009805,939
S01009806,869
S01009807,970
S01009808,584
S01009809,692
S01009810,886
S01009811,1058
S01009812,728
S01009813,915
S01009814,814
S01009815,642
S01009816,721
S01009817,683
S01009818,910
S01009819,704
S01009820,958
S01009821,635
S01009822,461
S01009823,717
S01009824,939
S01009825,1026
S01009826,602
S01009827,845
S01009828,725
S01009829,906
S01009830,764
S01009831,763
S01009832,967
S01009833,525
S01009834,794
S01009835,592
S01009836,931
S01009837,671
S01009838,919
S01009839,937
S01009840,903
S01009841,905
S01009842,777
S01009843,740
S01009844,915
S01009845,932
S01009846,1004
S01009847,779
S01009848,1019
S01009849,724
S01009850,885
S01009851,882
S01009852,545
S01009853,826
S01009854,806
S01009855,594
S01009856,642
S01009857,898
S01009858,770
S01009859,1244
S01009860,1015
S01009861,1266
S01009862,1126
S01009863,821
S01009864,669
S01009865,626
S01009866,894
S01009867,1239
S01009868,832
S01009869,579
S01009870,701
S01009871,947
S01009872,687
S01009873,1008
S01009874,1029
S01009875,842
S01009876,393
S01009877,977
S01009878,763
S01009879,893
S01009880,792
S01009881,550
S01009882,1279
S01009883,809
S01009884,773
S01009885,866
S01009886,779
S01009887,928
S01009888,769
S01009889,920
S01009890,616
S01009891,810
S01009892,789
S01009893,864
S01009894,864
S01009895,761
S01009896,1167
S01009897,962
S01009898,682
S01009899,821
S01009900,842
S01009901,886
S01009902,859
S01009903,839
S01009904,835
S01009905,746
S01009906,708
S01009907,754
S01009908,1037
S01009909,947
S01009910,542
S01009911,1004
S01009912,877
S01009913,704
S01009914,969
S01009915,866
S01009916,996
S01009917,725
S01009918,691
S01009919,1095
S01009920,900
S01009921,608
S01009922,1146
S01009923,902
S01009924,1077
S01009925,725
S01009926,792
S01009927,579
S01009928,933
S01009929,570
S01009930,844
S01009931,867
S01009932,745
S01009933,932
S01009934,923
S01009935,732
S01009936,599
S01009937,455
S01009938,745
S01009939,589
S01009940,800
S01009941,1028
S01009942,939
S01009943,896
S01009944,765
S01009945,913
S01009946,902
S01009947,583
S01009948,786
S01009949,895
S01009950,688
S01009951,727
S01009952,703
S01009953,885
S01009954,704
S01009955,1072
S01009956,735
S01009957,727
S01009958,885
S01009959,644
S01009960,842
S01009961,691
S01009962,959
S01009963,734
S01009964,878
S01009965,744
S01009966,743
S01009967,767
S01009968,564
S01009969,905
S01009970,961
S01009971,1069
S01009972,880
S01009973,702
S01009974,645
S01009975,807
S01009976,471
S01009977,895
S01009978,1001
S01009979,518
S01009980,629
S01009981,691
S01009982,981
S01009983,642
S01009984,715
S01009985,631
S01009986,500
S01009987,823
S01009988,456
S01009989,857
S01009990,734
S01009991,780
